Full transcript (this run) is also saved to: assign2_run_20260509_084904.log

Training on device: cpu
Start TorchRL-DoubleDQN training...
Ep:   100 | R:  133.75 | R500:  41.44 | R[p25/p50/p75]: -91.9/ 113.9/ 139.1 | W/L/D:59.0%/41.0%/ 0.0% | Loss(ep):4.80220 | Loss(ma):4.11409±2.38085 | Eps:0.951 | LR:5.0e-05 | Buf:  3109 | T:3.1s
Ep:  2100 | R:  132.50 | R500: 115.51 | R[p25/p50/p75]: 119.0/ 125.0/ 137.6 | W/L/D:93.2%/ 6.8%/ 0.0% | Loss(ep):4.46485 | Loss(ma):5.15047±2.47479 | Eps:0.350 | LR:5.0e-05 | Buf: 52192 | T:53.5s
Ep:  2200 | R:  139.00 | R500: 117.58 | R[p25/p50/p75]: 119.0/ 126.0/ 137.5 | W/L/D:94.2%/ 5.8%/ 0.0% | Loss(ep):5.71262 | Loss(ma):5.23200±2.48345 | Eps:0.333 | LR:5.0e-05 | Buf: 53863 | T:55.2s
Ep:  2300 | R:  119.00 | R500: 119.08 | R[p25/p50/p75]: 119.0/ 126.1/ 137.3 | W/L/D:94.8%/ 5.2%/ 0.0% | Loss(ep):6.31424 | Loss(ma):5.28919±2.47905 | Eps:0.317 | LR:5.0e-05 | Buf: 55407 | T:56.8s
Ep:  2400 | R:  120.00 | R500: 120.75 | R[p25/p50/p75]: 120.0/ 126.8/ 137.5 | W/L/D:95.6%/ 4.4%/ 0.0% | Loss(ep):4.82762 | Loss(ma):5.33348±2.43033 | Eps:0.301 | LR:5.0e-05 | Buf: 56834 | T:58.2s
Ep:  2500 | R:  139.00 | R500: 122.03 | R[p25/p50/p75]: 120.0/ 127.0/ 138.0 | W/L/D:96.2%/ 3.8%/ 0.0% | Loss(ep):4.99080 | Loss(ma):5.40228±2.44318 | Eps:0.286 | LR:5.0e-05 | Buf: 58283 | T:59.6s
Ep:  2600 | R:  120.00 | R500: 123.68 | R[p25/p50/p75]: 120.0/ 126.8/ 137.8 | W/L/D:97.0%/ 3.0%/ 0.0% | Loss(ep):3.58060 | Loss(ma):5.46948±2.45546 | Eps:0.272 | LR:5.0e-05 | Buf: 59580 | T:60.9s
Ep:  2700 | R:  132.75 | R500: 125.07 | R[p25/p50/p75]: 120.0/ 125.8/ 136.8 | W/L/D:97.8%/ 2.2%/ 0.0% | Loss(ep):5.09285 | Loss(ma):5.54298±2.46103 | Eps:0.259 | LR:5.0e-05 | Buf: 60855 | T:62.2s
Ep:  2800 | R:  120.00 | R500: 124.08 | R[p25/p50/p75]: 119.6/ 125.0/ 135.0 | W/L/D:97.8%/ 2.2%/ 0.0% | Loss(ep):6.25889 | Loss(ma):5.59171±2.47937 | Eps:0.247 | LR:5.0e-05 | Buf: 62039 | T:63.4s
Ep:  2900 | R:  129.00 | R500: 124.59 | R[p25/p50/p75]: 119.0/ 125.0/ 135.0 | W/L/D:98.0%/ 2.0%/ 0.0% | Loss(ep):5.86673 | Loss(ma):5.61927±2.45236 | Eps:0.234 | LR:5.0e-05 | Buf: 63297 | T:64.7s
Ep:  3000 | R:  116.00 | R500: 124.83 | R[p25/p50/p75]: 119.0/ 125.0/ 134.0 | W/L/D:98.4%/ 1.6%/ 0.0% | Loss(ep):5.50842 | Loss(ma):5.63904±2.45008 | Eps:0.223 | LR:5.0e-05 | Buf: 64489 | T:65.9s
[Eval@3000] W/L/D=200/0/0 | WR/LR/DR:100.0%/0.0%/0.0% | AvgR:128.05
Ep:  3100 | R:  134.00 | R500: 124.52 | R[p25/p50/p75]: 119.0/ 124.8/ 134.0 | W/L/D:98.4%/ 1.6%/ 0.0% | Loss(ep):4.73243 | Loss(ma):5.65581±2.44848 | Eps:0.212 | LR:5.0e-05 | Buf: 65655 | T:67.4s
Ep:  3200 | R:  115.00 | R500: 123.99 | R[p25/p50/p75]: 119.0/ 124.6/ 133.8 | W/L/D:98.4%/ 1.6%/ 0.0% | Loss(ep):4.15549 | Loss(ma):5.68283±2.46399 | Eps:0.202 | LR:5.0e-05 | Buf: 66779 | T:68.5s
Ep:  3300 | R:  124.00 | R500: 124.70 | R[p25/p50/p75]: 119.0/ 124.0/ 133.0 | W/L/D:98.8%/ 1.2%/ 0.0% | Loss(ep):5.95278 | Loss(ma):5.72508±2.45732 | Eps:0.192 | LR:5.0e-05 | Buf: 67858 | T:69.6s
Ep:  3400 | R:  120.00 | R500: 124.81 | R[p25/p50/p75]: 119.0/ 124.0/ 131.8 | W/L/D:99.2%/ 0.8%/ 0.0% | Loss(ep):6.80181 | Loss(ma):5.77908±2.46470 | Eps:0.183 | LR:5.0e-05 | Buf: 68897 | T:70.7s
Ep:  3500 | R:  122.00 | R500: 124.17 | R[p25/p50/p75]: 119.0/ 124.0/ 130.8 | W/L/D:99.2%/ 0.8%/ 0.0% | Loss(ep):6.36925 | Loss(ma):5.85010±2.45002 | Eps:0.174 | LR:5.0e-05 | Buf: 69918 | T:71.7s
Ep:  3600 | R:  120.00 | R500: 122.57 | R[p25/p50/p75]: 119.0/ 123.0/ 130.0 | W/L/D:98.8%/ 1.2%/ 0.0% | Loss(ep):6.21992 | Loss(ma):5.93183±2.46611 | Eps:0.165 | LR:5.0e-05 | Buf: 70908 | T:72.7s
Ep:  3700 | R:  130.00 | R500: 122.66 | R[p25/p50/p75]: 119.0/ 122.4/ 130.0 | W/L/D:99.0%/ 1.0%/ 0.0% | Loss(ep):5.93149 | Loss(ma):5.96581±2.42926 | Eps:0.157 | LR:5.0e-05 | Buf: 71883 | T:73.7s
Ep:  3800 | R:  119.00 | R500: 122.38 | R[p25/p50/p75]: 119.0/ 120.0/ 129.0 | W/L/D:99.0%/ 1.0%/ 0.0% | Loss(ep):5.26908 | Loss(ma):5.99429±2.42571 | Eps:0.149 | LR:5.0e-05 | Buf: 72816 | T:74.6s
Ep:  3900 | R:  120.00 | R500: 122.00 | R[p25/p50/p75]: 119.0/ 120.0/ 127.0 | W/L/D:99.0%/ 1.0%/ 0.0% | Loss(ep):6.82069 | Loss(ma):6.01635±2.39513 | Eps:0.142 | LR:5.0e-05 | Buf: 73676 | T:75.4s
Ep:  4000 | R:  114.00 | R500: 122.03 | R[p25/p50/p75]: 119.0/ 120.0/ 127.0 | W/L/D:99.0%/ 1.0%/ 0.0% | Loss(ep):7.27327 | Loss(ma):6.04110±2.40162 | Eps:0.135 | LR:5.0e-05 | Buf: 74624 | T:76.4s
[Eval@4000] W/L/D=200/0/0 | WR/LR/DR:100.0%/0.0%/0.0% | AvgR:122.65
Ep:  4100 | R:  120.00 | R500: 122.88 | R[p25/p50/p75]: 119.0/ 120.0/ 129.0 | W/L/D:99.2%/ 0.8%/ 0.0% | Loss(ep):7.53840 | Loss(ma):6.05062±2.37517 | Eps:0.129 | LR:5.0e-05 | Buf: 75610 | T:77.6s
Ep:  4200 | R:  120.00 | R500: 122.44 | R[p25/p50/p75]: 119.0/ 120.0/ 127.0 | W/L/D:99.2%/ 0.8%/ 0.0% | Loss(ep):6.50479 | Loss(ma):6.07364±2.36490 | Eps:0.122 | LR:5.0e-05 | Buf: 76487 | T:78.5s
Ep:  4300 | R:  144.00 | R500: 121.89 | R[p25/p50/p75]: 119.0/ 120.0/ 127.0 | W/L/D:99.0%/ 1.0%/ 0.0% | Loss(ep):5.93182 | Loss(ma):6.13831±2.38185 | Eps:0.116 | LR:5.0e-05 | Buf: 77391 | T:79.4s
Ep:  4400 | R:  115.00 | R500: 121.48 | R[p25/p50/p75]: 119.0/ 120.0/ 127.0 | W/L/D:98.8%/ 1.2%/ 0.0% | Loss(ep):4.99670 | Loss(ma):6.18405±2.38128 | Eps:0.111 | LR:5.0e-05 | Buf: 78289 | T:80.3s
Ep:  4500 | R:  120.00 | R500: 121.18 | R[p25/p50/p75]: 119.0/ 120.0/ 125.6 | W/L/D:98.8%/ 1.2%/ 0.0% | Loss(ep):6.77338 | Loss(ma):6.21372±2.37405 | Eps:0.105 | LR:5.0e-05 | Buf: 79145 | T:81.1s
Ep:  4600 | R:  118.00 | R500: 121.55 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.2%/ 0.8%/ 0.0% | Loss(ep):7.05235 | Loss(ma):6.28070±2.36394 | Eps:0.100 | LR:5.0e-05 | Buf: 80028 | T:82.0s
Ep:  4700 | R:  118.00 | R500: 121.68 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.2%/ 0.8%/ 0.0% | Loss(ep):6.92526 | Loss(ma):6.31291±2.35129 | Eps:0.095 | LR:5.0e-05 | Buf: 80909 | T:82.9s
Ep:  4800 | R:  134.00 | R500: 122.67 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.6%/ 0.4%/ 0.0% | Loss(ep):6.45557 | Loss(ma):6.35682±2.35410 | Eps:0.091 | LR:5.0e-05 | Buf: 81763 | T:83.7s
Ep:  4900 | R:  115.00 | R500: 123.29 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.8%/ 0.2%/ 0.0% | Loss(ep):6.20845 | Loss(ma):6.37153±2.33470 | Eps:0.086 | LR:5.0e-05 | Buf: 82577 | T:84.6s
Ep:  5000 | R:  127.00 | R500: 122.56 | R[p25/p50/p75]: 119.0/ 120.0/ 126.3 | W/L/D:99.4%/ 0.6%/ 0.0% | Loss(ep):8.76377 | Loss(ma):6.37885±2.31834 | Eps:0.082 | LR:5.0e-05 | Buf: 83441 | T:85.5s
[Eval@5000] W/L/D=199/1/0 | WR/LR/DR:99.5%/0.5%/0.0% | AvgR:121.73
Ep:  5100 | R:  116.00 | R500: 122.53 | R[p25/p50/p75]: 119.0/ 120.0/ 127.0 | W/L/D:99.4%/ 0.6%/ 0.0% | Loss(ep):6.14054 | Loss(ma):6.41576±2.31967 | Eps:0.078 | LR:5.0e-05 | Buf: 84311 | T:86.6s
Ep:  5200 | R:  113.00 | R500: 122.32 | R[p25/p50/p75]: 119.0/ 120.0/ 126.6 | W/L/D:99.4%/ 0.6%/ 0.0% | Loss(ep):5.41551 | Loss(ma):6.40523±2.30245 | Eps:0.074 | LR:5.0e-05 | Buf: 85071 | T:87.3s
Ep:  5300 | R:  119.00 | R500: 122.02 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.4%/ 0.6%/ 0.0% | Loss(ep):9.20010 | Loss(ma):6.41420±2.29734 | Eps:0.071 | LR:5.0e-05 | Buf: 85860 | T:88.1s
Ep:  5400 | R:  124.00 | R500: 121.91 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.4%/ 0.6%/ 0.0% | Loss(ep):7.23512 | Loss(ma):6.42677±2.26259 | Eps:0.067 | LR:5.0e-05 | Buf: 86648 | T:88.9s
Ep:  5500 | R:  133.00 | R500: 123.21 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:100.0%/ 0.0%/ 0.0% | Loss(ep):7.05723 | Loss(ma):6.43560±2.24028 | Eps:0.064 | LR:5.0e-05 | Buf: 87496 | T:89.7s
Ep:  5600 | R:  119.00 | R500: 123.29 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:100.0%/ 0.0%/ 0.0% | Loss(ep):6.90061 | Loss(ma):6.45185±2.21411 | Eps:0.061 | LR:5.0e-05 | Buf: 88300 | T:90.5s
Ep:  5700 | R:  118.00 | R500: 123.81 | R[p25/p50/p75]: 119.0/ 120.0/ 125.2 | W/L/D:100.0%/ 0.0%/ 0.0% | Loss(ep):7.04589 | Loss(ma):6.47339±2.20513 | Eps:0.058 | LR:5.0e-05 | Buf: 89148 | T:91.4s
Ep:  5800 | R:  120.00 | R500: 123.94 | R[p25/p50/p75]: 119.0/ 120.0/ 125.1 | W/L/D:100.0%/ 0.0%/ 0.0% | Loss(ep):6.49828 | Loss(ma):6.48427±2.17590 | Eps:0.055 | LR:5.0e-05 | Buf: 90013 | T:92.2s
Ep:  5900 | R:  119.00 | R500: 124.11 | R[p25/p50/p75]: 119.0/ 120.0/ 127.0 | W/L/D:100.0%/ 0.0%/ 0.0% | Loss(ep):5.85051 | Loss(ma):6.48656±2.14714 | Eps:0.052 | LR:5.0e-05 | Buf: 90825 | T:93.0s
Ep:  6000 | R:  129.00 | R500: 123.92 | R[p25/p50/p75]: 119.0/ 120.0/ 127.0 | W/L/D:100.0%/ 0.0%/ 0.0% | Loss(ep):7.47452 | Loss(ma):6.47748±2.14247 | Eps:0.050 | LR:5.0e-05 | Buf: 91618 | T:93.8s
[Eval@6000] W/L/D=199/1/0 | WR/LR/DR:99.5%/0.5%/0.0% | AvgR:122.00
Ep:  6100 | R:  136.75 | R500: 122.82 | R[p25/p50/p75]: 119.0/ 120.0/ 125.1 | W/L/D:99.6%/ 0.4%/ 0.0% | Loss(ep):6.75060 | Loss(ma):6.48437±2.14675 | Eps:0.050 | LR:5.0e-05 | Buf: 92387 | T:94.8s
Ep:  6200 | R:  120.00 | R500: 122.06 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.4%/ 0.6%/ 0.0% | Loss(ep):5.55903 | Loss(ma):6.49543±2.13705 | Eps:0.050 | LR:5.0e-05 | Buf: 93232 | T:95.6s
Ep:  6300 | R:  119.00 | R500: 122.09 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.4%/ 0.6%/ 0.0% | Loss(ep):6.66495 | Loss(ma):6.49752±2.10252 | Eps:0.050 | LR:5.0e-05 | Buf: 94046 | T:96.4s
Ep:  6400 | R:  118.00 | R500: 121.81 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.4%/ 0.6%/ 0.0% | Loss(ep):6.43357 | Loss(ma):6.48415±2.09251 | Eps:0.050 | LR:5.0e-05 | Buf: 94863 | T:97.3s
Ep:  6500 | R:  122.00 | R500: 122.17 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.4%/ 0.6%/ 0.0% | Loss(ep):6.87037 | Loss(ma):6.45155±2.07477 | Eps:0.050 | LR:5.0e-05 | Buf: 95734 | T:98.1s
Ep:  6600 | R:  123.00 | R500: 122.76 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.6%/ 0.4%/ 0.0% | Loss(ep):6.69528 | Loss(ma):6.44072±2.05285 | Eps:0.050 | LR:5.0e-05 | Buf: 96517 | T:98.9s
Ep:  6700 | R:  120.00 | R500: 123.35 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.8%/ 0.2%/ 0.0% | Loss(ep):5.79099 | Loss(ma):6.42396±2.01619 | Eps:0.050 | LR:5.0e-05 | Buf: 97330 | T:99.7s
Ep:  6800 | R:  133.00 | R500: 123.34 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.8%/ 0.2%/ 0.0% | Loss(ep):5.68031 | Loss(ma):6.40368±1.98665 | Eps:0.050 | LR:5.0e-05 | Buf: 98129 | T:100.5s
Ep:  6900 | R:  118.00 | R500: 123.43 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.8%/ 0.2%/ 0.0% | Loss(ep):6.34635 | Loss(ma):6.35599±1.93764 | Eps:0.050 | LR:5.0e-05 | Buf: 98989 | T:101.4s
Ep:  7000 | R:  115.00 | R500: 123.17 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.8%/ 0.2%/ 0.0% | Loss(ep):5.12226 | Loss(ma):6.33194±1.92418 | Eps:0.050 | LR:5.0e-05 | Buf: 99774 | T:102.2s
[Eval@7000] W/L/D=199/1/0 | WR/LR/DR:99.5%/0.5%/0.0% | AvgR:122.91
Ep:  7100 | R:  120.00 | R500: 123.63 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:100.0%/ 0.0%/ 0.0% | Loss(ep):6.80296 | Loss(ma):6.32283±1.91637 | Eps:0.050 | LR:5.0e-05 | Buf:100000 | T:103.1s
Ep:  7200 | R:  128.00 | R500: 123.45 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:100.0%/ 0.0%/ 0.0% | Loss(ep):6.09705 | Loss(ma):6.31700±1.90640 | Eps:0.050 | LR:5.0e-05 | Buf:100000 | T:104.0s
Ep:  7300 | R:  119.00 | R500: 123.68 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:100.0%/ 0.0%/ 0.0% | Loss(ep):6.53059 | Loss(ma):6.28759±1.87716 | Eps:0.050 | LR:5.0e-05 | Buf:100000 | T:104.8s
Ep:  7400 | R:  120.00 | R500: 123.24 | R[p25/p50/p75]: 119.0/ 120.0/ 125.8 | W/L/D:99.8%/ 0.2%/ 0.0% | Loss(ep):5.72530 | Loss(ma):6.26012±1.87210 | Eps:0.050 | LR:5.0e-05 | Buf:100000 | T:105.6s
Ep:  7500 | R:  114.00 | R500: 123.27 | R[p25/p50/p75]: 119.0/ 120.0/ 125.2 | W/L/D:99.8%/ 0.2%/ 0.0% | Loss(ep):5.75369 | Loss(ma):6.23746±1.85440 | Eps:0.050 | LR:5.0e-05 | Buf:100000 | T:106.4s
Ep:  7600 | R:  128.00 | R500: 123.25 | R[p25/p50/p75]: 119.0/ 120.0/ 125.8 | W/L/D:99.8%/ 0.2%/ 0.0% | Loss(ep):6.85502 | Loss(ma):6.20944±1.82792 | Eps:0.050 | LR:5.0e-05 | Buf:100000 | T:107.2s
Ep:  7700 | R:  128.00 | R500: 123.05 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.8%/ 0.2%/ 0.0% | Loss(ep):6.34499 | Loss(ma):6.19233±1.80350 | Eps:0.050 | LR:5.0e-05 | Buf:100000 | T:107.9s
Ep:  7800 | R:  120.00 | R500: 122.74 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:99.8%/ 0.2%/ 0.0% | Loss(ep):5.22295 | Loss(ma):6.19616±1.79760 | Eps:0.050 | LR:5.0e-05 | Buf:100000 | T:108.8s
Ep:  7900 | R:  120.00 | R500: 123.38 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:100.0%/ 0.0%/ 0.0% | Loss(ep):5.27666 | Loss(ma):6.17930±1.79301 | Eps:0.050 | LR:5.0e-05 | Buf:100000 | T:109.5s
Ep:  8000 | R:  119.00 | R500: 123.47 | R[p25/p50/p75]: 119.0/ 120.0/ 125.0 | W/L/D:100.0%/ 0.0%/ 0.0% | Loss(ep):6.89499 | Loss(ma):6.17649±1.77466 | Eps:0.050 | LR:5.0e-05 | Buf:100000 | T:110.3s
